A,B,OUT
-123,-122,15359
-123,-121,15359
-123,-120,14589
-123,-119,14589
-123,-118,14589
-123,-117,14589
-123,-116,14301
-123,-115,14301
-123,-114,14301
-123,-113,14301
-123,-112,13511
-123,-111,13511
-123,-110,13511
-123,-109,13511
-123,-108,13255
-123,-107,13255
-123,-106,13255
-123,-105,13255
-123,-104,12484
-123,-103,12484
-123,-102,12484
-123,-101,12484
-123,-100,12260
-123,-99,12260
-123,-98,12260
-123,-97,12260
-123,-96,11503
-123,-95,11503
-123,-94,11503
-123,-93,11503
-123,-92,11247
-123,-91,11247
-123,-90,11247
-123,-89,11247
-123,-88,10476
-123,-87,10476
-123,-86,10476
-123,-85,10476
-123,-84,10188
-123,-83,10188
-123,-82,10188
-123,-81,10188
-123,-80,9430
-123,-79,9430
-123,-78,9430
-123,-77,9430
-123,-76,9174
-123,-75,9174
-123,-74,9174
-123,-73,9174
-123,-72,8404
-123,-71,8404
-123,-70,8404
-123,-69,8404
-123,-68,8180
-123,-67,8180
-123,-66,8180
-123,-65,8180
-123,-64,7422
-123,-63,7422
-123,-62,7422
-123,-61,7422
-123,-60,7166
-123,-59,7166
-123,-58,7166
-123,-57,7166
-123,-56,6396
-123,-55,6396
-123,-54,6396
-123,-53,6396
-123,-52,6108
-123,-51,6108
-123,-50,6108
-123,-49,6108
-123,-48,5318
-123,-47,5318
-123,-46,5318
-123,-45,5318
-123,-44,5062
-123,-43,5062
-123,-42,5062
-123,-41,5062
-123,-40,4293
-123,-39,4293
-123,-38,4293
-123,-37,4293
-123,-36,4069
-123,-35,4069
-123,-34,4069
-123,-33,4069
-123,-32,3310
-123,-31,3310
-123,-30,3310
-123,-29,3310
-123,-28,3054
-123,-27,3054
-123,-26,3054
-123,-25,3054
-123,-24,2285
-123,-23,2285
-123,-22,2285
-123,-21,2285
-123,-20,1997
-123,-19,1997
-123,-18,1997
-123,-17,1997
-123,-16,1239
-123,-15,1239
-123,-14,1239
-123,-13,1239
-123,-12,983
-123,-11,983
-123,-10,983
-123,-9,983
-123,-8,213
-123,-7,213
-123,-6,213
-123,-5,213
-123,-4,-11
-123,-3,-11
-123,-2,-11
-123,-1,-11
-123,0,-262
-123,1,-262
-123,2,-262
-123,3,-262
-123,4,-518
-123,5,-518
-123,6,-518
-123,7,-518
-123,8,-1288
-123,9,-1288
-123,10,-1288
-123,11,-1288
-123,12,-1544
-123,13,-1544
-123,14,-1544
-123,15,-1544
-123,16,-2350
-123,17,-2350
-123,18,-2350
-123,19,-2350
-123,20,-2606
-123,21,-2606
-123,22,-2606
-123,23,-2606
-123,24,-3375
-123,25,-3375
-123,26,-3375
-123,27,-3375
-123,28,-3631
-123,29,-3631
-123,30,-3631
-123,31,-3631
-123,32,-4374
-123,33,-4374
-123,34,-4374
-123,35,-4374
-123,36,-4630
-123,37,-4630
-123,38,-4630
-123,39,-4630
-123,40,-5399
-123,41,-5399
-123,42,-5399
-123,43,-5399
-123,44,-5655
-123,45,-5655
-123,46,-5655
-123,47,-5655
-123,48,-6461
-123,49,-6461
-123,50,-6461
-123,51,-6461
-123,52,-6717
-123,53,-6717
-123,54,-6717
-123,55,-6717
-123,56,-7487
-123,57,-7487
-123,58,-7487
-123,59,-7487
-123,60,-7743
-123,61,-7743
-123,62,-7743
-123,63,-7743
-123,64,-7973
-123,65,-7973
-123,66,-7973
-123,67,-7973
-123,68,-8197
-123,69,-8197
-123,70,-8197
-123,71,-8197
-123,72,-8967
-123,73,-8967
-123,74,-8967
-123,75,-8967
-123,76,-9223
-123,77,-9223
-123,78,-9223
-123,79,-9223
-123,80,-9997
-123,81,-9997
-123,82,-9997
-123,83,-9997
-123,84,-10285
-123,85,-10285
-123,86,-10285
