,n_embd,n_head,block_size,n_layer,mlp_expansion_factor,n_cols,MAC NUM,Wmem Depth,Cache Depth,best_val_loss,perplexity,Power (W),Area (um^2),Clock Period (ns) Entered,Clock_Min_Period,F_max (MHz),Clock Slack (ns),TTFT (ms),TPOT (ms),Throughput (tokens/s),Energy per token (mJ/token),EDP (mJ * ms),EADP (mJ * ms * um^2)
4681,512.0,2.0,512.0,35.0,2.0,8,16,4096,2048,3.680488,39.66574623442345,1.936,217709684.4288,3,5.777,173.10022503029253,-3.081,769.297157688889,532.1125376,1.8793017065719295,1030.1698727936,7.925067550768407e-07,172.53639555547127
4682,512.0,2.0,512.0,35.0,2.0,8,32,2048,1024,3.680488,39.66574623442345,2.368,219687601.408,3,5.689,175.77781683951486,-2.988,407.78752,494.1025450666667,2.0238713805148993,1170.0348267178667,4.771256003009085e-07,104.81857870045872
4683,512.0,2.0,512.0,35.0,2.0,16,8,4096,2048,3.680488,39.66574623442345,2.2496,219234626.9696,3,3.979,251.31942699170645,-1.188,532.4008106666666,366.5009152,2.728506146988197,824.4804588339201,4.3895406466200434e-07,96.2339306229642
4684,512.0,2.0,512.0,35.0,2.0,16,16,2048,1024,3.680488,39.66574623442345,2.6816,221248118.0672,3,3.821,261.7115938236064,-1.022,275.1065656888889,331.8625109333334,3.0132960700730855,889.9225093188269,2.448235252679407e-07,54.166744224109465
4685,512.0,2.0,512.0,35.0,2.0,32,4,4096,2048,3.680488,39.66574623442345,2.8352,222223933.952,3,4.091,244.4390124663896,-1.307,552.5999160888889,376.8171008,2.653807372003431,1068.35184418816,5.90371139451787e-07,131.1945971007009
4686,512.0,2.0,512.0,35.0,2.0,32,8,2048,1024,3.680488,39.66574623442345,3.3152,224403704.5248,3,3.779,264.6202699126753,-0.978,274.4904362666666,328.2147157333334,3.0467859972874467,1088.0974255991468,2.986723370533467e-07,67.02317887385068
4687,512.0,2.0,512.0,35.0,2.0,64,4,2048,1024,3.680488,39.66574623442345,4.4928,230251793.3056,3,4.072,245.5795677799607,-1.286,300.9617009777778,353.6624298666667,2.827555079506204,1588.93456490496,4.782084493961821e-07,110.10835304736118
4688,512.0,2.0,512.0,35.0,2.0,4,32,4096,2048,3.680488,39.66574623442345,1.336,216895763.8144,4,10.224,97.80907668231612,-6.762,1358.2270464,941.7203712000002,1.06188634182962,1258.1384159232002,1.708837624621743e-06,370.6396418271179
4689,512.0,2.0,512.0,35.0,2.0,8,16,4096,2048,3.680488,39.66574623442345,1.4544,217709684.4288,4,5.967,167.58840288252054,-2.281,794.5986048,549.6132095999999,1.8194613639795605,799.3574520422399,6.351683161292468e-07,138.28229366367057
4690,512.0,2.0,512.0,35.0,2.0,8,32,2048,1024,3.680488,39.66574623442345,1.776,219687601.408,4,5.879,170.0969552645008,-2.188,421.40672000000006,510.60447573333335,1.9584630521771156,906.8335489024001,3.821457514289201e-07,83.95268351967724
4691,512.0,2.0,512.0,35.0,2.0,16,8,4096,2048,3.680488,39.66574623442345,1.696,219234626.9696,4,4.13,242.13075060532688,-0.347,552.6050133333334,380.40934400000003,2.62874720553657,645.1742474240001,3.5652652360006293e-07,78.16295940622808
4692,512.0,2.0,512.0,35.0,2.0,16,16,2048,1024,3.680488,39.66574623442345,2.016,221248118.0672,4,3.87,258.39793281653743,-0.074,278.634496,336.118272,2.9751432257750032,677.614436352,1.888067569552636e-07,41.7731396547233
4693,512.0,2.0,512.0,35.0,2.0,32,4,4096,2048,3.680488,39.66574623442345,2.1376,222223933.952,4,4.091,244.4390124663896,-0.307,552.5999160888889,376.8171008,2.653807372003431,805.4842346700799,4.4511052048960905e-07,98.91421090662323
4694,512.0,2.0,512.0,35.0,2.0,32,8,2048,1024,3.680488,39.66574623442345,2.496,224403704.5248,4,3.779,264.6202699126753,0.022,274.4904362666666,328.2147157333334,3.0467859972874467,819.2239304704001,2.2486913407491348e-07,50.46146671969452
4695,512.0,2.0,512.0,35.0,2.0,64,4,2048,1024,3.680488,39.66574623442345,3.3792,230251793.3056,4,4.072,245.5795677799607,-0.286,300.9617009777778,353.6624298666667,2.827555079506204,1195.09608300544,3.596781499731967e-07,82.81653904416909
4696,512.0,2.0,512.0,35.0,2.0,4,32,4096,2048,3.680488,39.66574623442345,1.072,216895763.8144,5,10.414,96.02458229306703,-5.962,1383.4679637333331,959.2210431999999,1.0425125752704087,1028.2849583104,1.4225992974113046e-06,308.5557612138537
4697,512.0,2.0,512.0,35.0,2.0,8,16,4096,2048,3.680488,39.66574623442345,1.1696,217709684.4288,5,6.157,162.41676140977748,-1.481,819.9000519111111,567.1138816000001,1.7633142697524826,663.2963959193601,5.438367494467362e-07,118.3985271028333
4698,512.0,2.0,512.0,35.0,2.0,8,32,2048,1024,3.680488,39.66574623442345,1.4288,219687601.408,5,6.069,164.77179106936893,-1.388,435.02592000000004,527.1064064000001,1.8971501538555382,753.1296334643201,3.276309116770787e-07,71.97644913345371
