A,B,OUT
-123,76,-9337
-123,77,-9465
-123,78,-9593
-123,79,-9721
-123,80,-9785
-123,81,-9913
-123,82,-10041
-123,83,-10169
-123,84,-10297
-123,85,-10425
-123,86,-10553
-123,87,-10681
-123,88,-10809
-123,89,-10937
-123,90,-11065
-123,91,-11193
-123,92,-11321
-123,93,-11449
-123,94,-11577
-123,95,-11705
-123,96,-11761
-123,97,-11889
-123,98,-12017
-123,99,-12145
-123,100,-12273
-123,101,-12401
-123,102,-12529
-123,103,-12657
-123,104,-12785
-123,105,-12913
-123,106,-13041
-123,107,-13169
-123,108,-13297
-123,109,-13425
-123,110,-13553
-123,111,-13681
-123,112,-13745
-123,113,-13873
-123,114,-14001
-123,115,-14129
-123,116,-14257
-123,117,-14385
-123,118,-14513
-123,119,-14641
-123,120,-14769
-123,121,-14897
-123,122,-15025
-123,123,-15153
-123,124,-15281
-123,125,-15409
-123,126,-15537
-123,127,-15665
-122,-128,15622
-122,-127,15494
-122,-126,15366
-122,-125,15238
-122,-124,15110
-122,-123,14982
-122,-122,14854
-122,-121,14726
-122,-120,14662
-122,-119,14534
-122,-118,14406
-122,-117,14278
-122,-116,14150
-122,-115,14022
-122,-114,13894
-122,-113,13766
-122,-112,13702
-122,-111,13574
-122,-110,13446
-122,-109,13318
-122,-108,13190
-122,-107,13062
-122,-106,12934
-122,-105,12806
-122,-104,12742
